"Taxa Name","Family","Phylum"
"Advenella faeciporci","Alcaligenaceae","Proteobacteria"
"Alkalitalea saponilacus","Marinilabiliaceae","Bacteroidetes"
"Bacteroides caccae","Bacteroidaceae","Bacteroidetes"
"Bifidobacterium animalis","Bifidobacteriaceae","Actinobacteria"
"Christensenella minuta","Christensenellaceae","Firmicutes"
"Cloacibacillus porcorum","Synergystaceae","Synergistetes"
"Corynebacterium humireducens","Corynebacteriaceae","Actinobacteria"
"Dechloromonas denitrifican","Azonexaceae","Proteobacteria"
"Ferroplasma acidiphilum","Ferroplasmaceae","Euryarchaeota"
"Geofilum rubicundum","Marinilabiliaceae","Bacteroidetes"
"Lutaonella thermophila","Flavobacteriaceae","Bacteroidetes"
"Lutispora thermophila","Clostridiaceae","Firmicutes"
"Sedimentibacter acidaminivorans","Clostridia","Firmicutes"
"Thauera aromatica AR-1","Zoogloeaceae","Proteobacteria"
