Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Halorubrum	luteum	CGSA15	Halorubrum luteum	NA	NA	NA	NA	NA	yes	NA	yes	yes	NA	yes	yes	NA	NA	NA
Flavobacterium	granuli	Kw05T	Flavobacterium granuli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Caenispirillum	bisanense	K92T 	Caenispirillum bisanense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Rubrobacter	taiwanensis	LS-293T	Rubrobacter taiwanensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Amycolatopsis	viridis	GY115	Amycolatopsis viridis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mycobacterium	parmense	MUP 1182T	Mycobacterium parmense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Tenacibaculum	skagerrakense	D30T	Tenacibaculum skagerrakense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Acidaminococcus	intestini	ADV255.99T	Acidaminococcus intestini	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
Veillonella	montpellierensis	ADV 281.99T 	Veillonella montpellierensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Amycolatopsis	palatopharyngis	1BDZT	Amycolatopsis palatopharyngis	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes
Mycobacterium	engbaekii	ATCC 27353	Mycobacterium engbaekii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA
Pseudonocardia	carboxydivorans	Y8	Pseudonocardia carboxydivorans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Prevotella 	marshii	E9.34T	Prevotella marshii	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Prevotella	micans	E7.56T 	Prevotella micans	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
