"Name"	"Strain"
"Halorubrum luteum"	"CGSA15"
"Catellatospora bangladeshensis"	"2-70(23)"
"Burkholderia contaminans"	"J2956T"
"Burkholderia lata"	"383T"
"Bacillus cellulosilyticus"	"N-4T"
"Bacillus akibai"	" 1139T "
"Borrelia turcica"	"IST7T "
"Asanoa iriomotensis"	"TT97-02T"
"Castellaniella caeni"	"Ho-11"
"Flavobacterium granuli"	"Kw05T"
"Streptococcus  orisuis"	"NUM 1001T "
"Halobacillus profundi"	"IS-Hb4T "
"Ferrimonas marina"	"A4D-4T"
"Shewanella hafniensis"	"P010"
"Sphingopyxis  ginsengisoli"	"Gsoil 250"
"Dokdonella ginsengisoli"	"Gsoil 191T"
"Marihabitans asiaticum"	"HG667"
"Iamia majanohamensis"	"F12T "
"Lactobacillus odoratitofui"	"YIT 11304"
"Dialister succinatiphilus"	"YIT 11850"
"Halarchaeum acidiphilum"	"MH1-52-1"
"Paraoerskovia marina"	"CTT-37"
"Collinsella tanakaei"	"YIT 12063"
"Marinicella litoralis"	"KMM 3900"
"Thermosporothrix hazakensis"	"SK20-1"
"Sulfuricella  denitrificans"	"skB26"
"Pseudonocardia babensis"	"VN05A0561"
"Meiothermus hypogaeus"	"AZM34c11"
"Methylobacterium oxalidis"	"35a"
"Defluvicoccus  vanus"	"Ben 114T"
"Halomonas neptunia"	"Eplume1T"
"Halopiger aswanensis"	"56"
"Epilithonimonas tenax"	"EP105"
"Alkanibacter difficilis"	"MN154.3"
"Chromohalobacter salarius"	" CG4.1T"
"Marichromatium indicum"	"JA100T"
"Corynebacterium ciconiae"	"CECT5779T"
"Enterococcus italicus"	"DSM15952T"
"Flavobacterium psychrolimnae"	"LMG22018T"
"Lactobacillus acidifarinae "	"LMG22200T"
"Aneurinibacillus terranovensis"	"Logan B-1599T"
"Paenibacillus barcinonensis"	" BP-23T"
"Flavobacterium fryxellicola"	"LMG22022T"
"Microbacterium xylanilyticum"	"S3-ET"
"Dietzia cinnamea"	"IMMIB RIV-399"
"Cohnella thermotolerans"	"CCUG 47242"
"Halovivax asiasticus"	"EJ-46"
"Spongiispira norvegica"	"Gp_4_7.1"
"Aspromonas composti"	"TR7-09 T"
"Agrococcus jejuensis"	"SSW1-48"
"Pediococcus argentinicus"	"LMG 23999"
"Eudoraea adriatica"	"AS06/20a"
"Bacillus cecembensis"	"PN5"
"Nautella italica"	"LMG 24365T"
"Lactobacillus gastricus"	" Kx156A7T"
"Kitasatospora sampliensis"	"VT-36"
"Mahella australiensis"	"50-1  BONT"
"Pseudonocardia dioxanivorans"	"CB1190T"
"Halobacillus aidingensis"	"AD-6T "
"Marinilactibacillus piezotolerans"	"LT20T"
"Marinobacter flavimaris"	"SW-145T"
"Idiomarina fontislapidosi"	"F23T"
"Pilibacter termitis"	"TI-1"
"Bacillus cibi"	"JG-30T"
"Melitea salexigens"	"5IX/A01/131"
"Flavobacterium  antarcticum "	"AT1026T"
