"Name"	"Strain"
"Methanobacterium aarhusense"	"H2-LR,DSM-15219,ATCC BAA-828,ATCC BAA-828"
"Methanobacterium alcaliphilum"	"WeN4,DSM-3387,ATCC 43379, NBRC 105226, OCM 11,ATCC 43379, NBRC 105226, OCM 11"
"Methanobacterium arcticum"	"M2,DSM-19844,VKM B-2371,VKM B-2371"
"Methanobacterium beijingense"	"02 VIII,DSM-15999,CGMCC 1.5011,CGMCC 1.5011"
"Methanobacterium bryantii"	"MoH,DSM-863,ATCC 33272, OCM 110, VKM B-1629,ATCC 33272, OCM 110, VKM B-1629"
"Methanobacterium congolense"	"C,DSM-7095,OCM 786,OCM 786"
"Methanobacterium espanolae"	"GP9,DSM-5982,ATCC BAA-1073, OCM 178, NRC 5912, NBRC 105228,ATCC BAA-1073, OCM 178, NRC 5912, NBRC 105228"
"Methanobacterium ferruginis"	"Mic6c05,DSM-21974,NBRC 105197,NBRC 105197"
"Methanobacterium flexile"	"GH,DSM-25939,JCM 15416, CGMCC AS 1.5092,JCM 15416, CGMCC AS 1.5092"
"Methanobacterium formicicum"	"MF,DSM-1535,ATCC 33274, JCM 10132, NBRC 100475, OCM 55, VKM B-1957,ATCC 33274, JCM 10132, NBRC 100475, OCM 55, VKM B-1957"
"Methanobacterium ivanovii"	"Ivanov,DSM-2611,ATCC BAA-930, OCM 140, VKM B-1634,ATCC BAA-930, OCM 140, VKM B-1634"
"Methanobacterium kanagiense"	"169,DSM-22026,JCM 15797,JCM 15797"
"Methanobacterium lacus"	"17A1,DSM-24406,JCM 17760,JCM 17760"
"Methanobacterium movens"	"TS-2,DSM-25945,JCM 15415, CGMCC AS 1.5093,JCM 15415, CGMCC AS 1.5093"
"Methanobacterium movilense"	"MC-20,DSM-26032,JCM 18470,JCM 18470"
"Methanobacterium oryzae"	"FPi,DSM-11106,NA,NA"
"Methanobacterium palustre"	"F,DSM-3108,OCM 238,OCM 238"
"Methanobacterium petrolearium"	"Mic5c12,DSM-22353,NBRC 105198,NBRC 105198"
"Methanobacterium subterraneum"	"A8p,DSM-11074,ATCC 700657,ATCC 700657"
"Methanobacterium thermaggregans"	"DSM3266,DSM-3266,ATCC 43168, OCM 141, VKM B-1959,ATCC 43168, OCM 141, VKM B-1959"
"Methanobacterium uliginosum"	"P2St,DSM-2956,ATCC 35997, NBRC 105232, OCM 176,ATCC 35997, NBRC 105232, OCM 176"
"Methanobacterium veterum"	"MK4,DSM-19849,VKM B-2440,VKM B-2440"
"Methanobrevibacter acididurans"	"ATM,DSM-15163,MCM B 613, OCM 804,NA"
"Methanobrevibacter arboriphilus"	"DH1,DSM-1125,ATCC 33747, ATCC 29097, JCM 13429, OCM 147,NA"
"Methanobrevibacter boviskoreani"	"JH1,DSM-25824,JCM 18376, KCTC 4102, ,JCM 18376, KCTC 4102, "
"Methanobrevibacter curvatus"	"RFM-2,DSM-11111,NA,NA"
"Methanobrevibacter cuticularis"	"RFM-1,DSM-11139,NA,NA"
"Methanobrevibacter filiformis"	"RFM-3,DSM-11501,NA,NA"
"Methanobrevibacter gottschalkii"	"HO,DSM-11977,ATCC BAA-1169, OCM 813,NA"
"Methanobrevibacter millerae"	"ZA-10,DSM-16643,OCM 820,NA"
"Methanobrevibacter olleyae"	"KM1H5-1P,DSM-16632,OCM 841,NA"
"Methanobrevibacter oralis"	"ZR,DSM-7256,NA,NA"
"Methanobrevibacter ruminantium"	"M1,DSM-1093,ATCC 35063, JCM 13430, OCM 146,NA"
"Methanobrevibacter smithii"	"PS,DSM-861,ATCC 35061, OCM 144, ,NA"
