assembly_accession	taxid	species_taxid	organism_name
GCF_001735525.1	23	23	Shewanella colwelliana
GCF_006539705.1	436	436	Komagataeibacter hansenii
GCF_014843995.1	436	436	Komagataeibacter hansenii
GCF_003416815.1	436	436	Komagataeibacter hansenii
GCF_900016225.1	436	436	Komagataeibacter hansenii
GCF_001645805.1	436	436	Komagataeibacter hansenii
GCF_001938835.1	436	436	Komagataeibacter hansenii
GCF_001645815.1	436	436	Komagataeibacter hansenii
GCF_003207935.1	436	436	Komagataeibacter hansenii
GCF_001938745.1	436	436	Komagataeibacter hansenii
GCF_016888985.1	536	536	Chromobacterium violaceum
GCF_012273555.1	536	536	Chromobacterium violaceum
GCF_000812485.1	536	536	Chromobacterium violaceum
GCF_017939465.1	536	536	Chromobacterium violaceum
GCF_000952105.1	536	536	Chromobacterium violaceum
GCF_016890085.1	536	536	Chromobacterium violaceum
GCF_002179535.1	536	536	Chromobacterium violaceum
GCF_017939545.1	536	536	Chromobacterium violaceum
GCF_002081735.1	536	536	Chromobacterium violaceum
GCF_002735965.1	536	536	Chromobacterium violaceum
GCF_001043755.1	536	536	Chromobacterium violaceum
GCF_002735945.1	536	536	Chromobacterium violaceum
GCF_002081875.1	536	536	Chromobacterium violaceum
GCF_001043735.1	536	536	Chromobacterium violaceum
GCF_001043595.1	536	536	Chromobacterium violaceum
GCF_002081745.1	536	536	Chromobacterium violaceum
GCF_002081775.1	536	536	Chromobacterium violaceum
GCF_014117535.1	536	536	Chromobacterium violaceum
GCF_018619115.1	536	536	Chromobacterium violaceum
GCF_001953795.1	536	536	Chromobacterium violaceum
GCF_001043815.1	536	536	Chromobacterium violaceum
GCF_002081895.1	536	536	Chromobacterium violaceum
GCF_900446805.1	536	536	Chromobacterium violaceum
GCF_002865685.1	536	536	Chromobacterium violaceum
GCF_900460965.1	536	536	Chromobacterium violaceum
GCF_006406185.1	1245	1245	Leuconostoc mesenteroides
GCF_002370415.1	1245	1245	Leuconostoc mesenteroides
GCF_902374135.1	1245	1245	Leuconostoc mesenteroides
GCF_004102585.1	1245	1245	Leuconostoc mesenteroides
GCF_004745755.1	1245	1245	Leuconostoc mesenteroides
GCF_003255835.1	1245	1245	Leuconostoc mesenteroides
GCF_018991785.1	1245	1245	Leuconostoc mesenteroides
GCF_001541125.1	1245	1245	Leuconostoc mesenteroides
GCF_016127295.1	1245	1245	Leuconostoc mesenteroides
GCF_009913915.1	1245	1245	Leuconostoc mesenteroides
GCF_001515385.1	1245	1245	Leuconostoc mesenteroides
GCF_004103675.1	1245	1245	Leuconostoc mesenteroides
GCF_008690745.1	1245	1245	Leuconostoc mesenteroides
GCF_000787735.1	1245	1245	Leuconostoc mesenteroides
GCF_900461615.1	1245	1245	Leuconostoc mesenteroides
GCF_001570665.1	1245	1245	Leuconostoc mesenteroides
GCF_005864365.1	1245	1245	Leuconostoc mesenteroides
GCF_009913935.1	1245	1245	Leuconostoc mesenteroides
GCF_004194375.1	1245	1245	Leuconostoc mesenteroides
GCF_900290445.1	1245	1245	Leuconostoc mesenteroides
GCF_019048965.1	1245	1245	Leuconostoc mesenteroides
GCF_014060975.1	1245	1245	Leuconostoc mesenteroides
GCF_009497095.1	1245	1245	Leuconostoc mesenteroides
GCF_018257055.1	1245	1245	Leuconostoc mesenteroides
GCF_004368765.1	1245	1245	Leuconostoc mesenteroides
GCF_008689685.1	1245	1245	Leuconostoc mesenteroides
GCF_900290155.1	1245	1245	Leuconostoc mesenteroides
GCF_003433375.1	1245	1245	Leuconostoc mesenteroides
GCF_900312985.1	1245	1245	Leuconostoc mesenteroides
GCF_008689715.1	1245	1245	Leuconostoc mesenteroides
GCF_007954745.1	1245	1245	Leuconostoc mesenteroides
GCF_007673005.1	1245	1245	Leuconostoc mesenteroides
GCF_002886025.1	1245	1245	Leuconostoc mesenteroides
GCF_900452955.1	1245	1245	Leuconostoc mesenteroides
GCF_008690805.1	1245	1245	Leuconostoc mesenteroides
GCF_018336555.1	1245	1245	Leuconostoc mesenteroides
GCF_018919275.1	1328	1328	Streptococcus anginosus
GCF_008726565.1	1328	1328	Streptococcus anginosus
GCF_902386165.1	1328	1328	Streptococcus anginosus
GCF_008727045.1	1328	1328	Streptococcus anginosus
GCF_015671015.1	1328	1328	Streptococcus anginosus
GCF_008726505.1	1328	1328	Streptococcus anginosus
GCF_003439105.1	1328	1328	Streptococcus anginosus
GCF_008726305.1	1328	1328	Streptococcus anginosus
GCF_001412635.1	1328	1328	Streptococcus anginosus
GCF_015669245.1	1328	1328	Streptococcus anginosus
GCF_002860925.1	1328	1328	Streptococcus anginosus
GCF_008726635.1	1328	1328	Streptococcus anginosus
GCF_008726365.1	1328	1328	Streptococcus anginosus
GCF_016903355.1	1328	1328	Streptococcus anginosus
GCF_901542445.1	1328	1328	Streptococcus anginosus
GCF_011029125.1	1328	1328	Streptococcus anginosus
GCF_005844435.1	1328	1328	Streptococcus anginosus
GCF_902374285.1	1328	1328	Streptococcus anginosus
GCF_001076575.1	1328	1328	Streptococcus anginosus
GCF_002848065.1	1328	1328	Streptococcus anginosus
GCF_002848085.1	1328	1328	Streptococcus anginosus
GCF_901542485.1	1328	1328	Streptococcus anginosus
GCF_008726575.1	1328	1328	Streptococcus anginosus
GCF_002860965.1	1328	1328	Streptococcus anginosus
GCF_003568885.1	1328	1328	Streptococcus anginosus
GCF_002860945.1	1328	1328	Streptococcus anginosus
GCF_002999655.1	1328	1328	Streptococcus anginosus
GCF_015547285.1	1328	1328	Streptococcus anginosus
GCF_001074525.1	1328	1328	Streptococcus anginosus
GCF_012030235.1	1328	1328	Streptococcus anginosus
GCF_016725185.1	1328	1328	Streptococcus anginosus
GCF_002999635.1	1328	1328	Streptococcus anginosus
GCF_001510585.1	1328	1328	Streptococcus anginosus
GCF_002999555.1	1328	1328	Streptococcus anginosus
GCF_002848125.1	1328	1328	Streptococcus anginosus
GCF_008726525.1	1328	1328	Streptococcus anginosus
GCF_011029135.1	1328	1328	Streptococcus anginosus
GCF_008726415.1	1328	1328	Streptococcus anginosus
