assembly_accession	taxid	species_taxid	ftp_path
GCF_001735525.1	23	23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/525/GCF_001735525.1_ASM173552v1
GCF_006539705.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/539/705/GCF_006539705.1_ASM653970v1
GCF_014843995.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/843/995/GCF_014843995.1_ASM1484399v1
GCF_003416815.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/416/815/GCF_003416815.1_ASM341681v1
GCF_900016225.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/016/225/GCF_900016225.1_ATCC53582.1
GCF_001645805.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/645/805/GCF_001645805.1_ASM164580v1
GCF_001938835.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/938/835/GCF_001938835.1_ASM193883v1
GCF_001645815.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/645/815/GCF_001645815.1_ASM164581v1
GCF_003207935.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/207/935/GCF_003207935.1_ASM320793v1
GCF_001938745.1	436	436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/938/745/GCF_001938745.1_ASM193874v1
GCF_016888985.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/888/985/GCF_016888985.1_ASM1688898v1
GCF_012273555.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/273/555/GCF_012273555.1_ASM1227355v1
GCF_000812485.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/485/GCF_000812485.1_ASM81248v1
GCF_017939465.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/939/465/GCF_017939465.1_ASM1793946v1
GCF_000952105.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/952/105/GCF_000952105.1_ASM95210v1
GCF_016890085.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/890/085/GCF_016890085.1_ASM1689008v1
GCF_002179535.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/179/535/GCF_002179535.1_ASM217953v1
GCF_017939545.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/939/545/GCF_017939545.1_ASM1793954v1
GCF_002081735.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/081/735/GCF_002081735.1_ASM208173v1
GCF_002735965.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/735/965/GCF_002735965.1_ASM273596v1
GCF_001043755.1	536	536	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/755/GCF_001043755.1_ASM104375v1
