assembly_accession	taxid	species_taxid	organism_name
GCF_002287175.1	2161	2161	Methanobacterium bryantii
GCF_001458655.1	2162	2162	Methanobacterium formicicum
GCF_000762265.1	2162	2162	Methanobacterium formicicum
GCF_002252585.1	2173	2173	Methanobrevibacter smithii
GCF_901111125.1	2173	2173	Methanobrevibacter smithii
GCF_002813085.1	2173	2173	Methanobrevibacter smithii
GCF_900650605.1	2173	2173	Methanobrevibacter smithii
GCF_902384055.1	2173	2173	Methanobrevibacter smithii
GCF_000824705.1	2173	2173	Methanobrevibacter smithii
GCF_900654205.1	2173	2173	Methanobrevibacter smithii
GCF_018784305.1	2173	2173	Methanobrevibacter smithii
GCF_902387325.1	2173	2173	Methanobrevibacter smithii
GCF_003722055.1	2177	2177	Methanohalophilus halophilus
GCF_001889405.1	2177	2177	Methanohalophilus halophilus
GCF_900106905.1	2177	2177	Methanohalophilus halophilus
GCF_017875395.1	2188	2188	Methanococcus voltae
GCF_017875565.1	2188	2188	Methanococcus voltae
GCF_017875625.1	2188	2188	Methanococcus voltae
GCF_001571405.1	2200	2200	Methanoculleus thermophilus
GCF_900101055.1	2200	2200	Methanoculleus thermophilus
GCF_000979205.1	2209	2209	Methanosarcina mazei
GCF_000979825.1	2209	2209	Methanosarcina mazei
GCF_000979275.1	2209	2209	Methanosarcina mazei
GCF_000979845.1	2209	2209	Methanosarcina mazei
GCF_000978965.1	2209	2209	Methanosarcina mazei
GCF_000979125.1	2209	2209	Methanosarcina mazei
GCF_000978945.1	2209	2209	Methanosarcina mazei
GCF_000979915.1	2209	2209	Methanosarcina mazei
GCF_000979555.1	2209	2209	Methanosarcina mazei
GCF_000979015.1	2209	2209	Methanosarcina mazei
GCF_000979105.1	2209	2209	Methanosarcina mazei
GCF_000980005.1	2209	2209	Methanosarcina mazei
GCF_000979755.1	2209	2209	Methanosarcina mazei
GCF_000979925.1	2209	2209	Methanosarcina mazei
GCF_000979025.1	2209	2209	Methanosarcina mazei
GCF_000980085.1	2209	2209	Methanosarcina mazei
GCF_000980075.1	2209	2209	Methanosarcina mazei
GCF_000979675.1	2209	2209	Methanosarcina mazei
GCF_000979115.1	2209	2209	Methanosarcina mazei
GCF_000979095.1	2209	2209	Methanosarcina mazei
GCF_000979895.1	2209	2209	Methanosarcina mazei
GCF_000979195.1	2209	2209	Methanosarcina mazei
GCF_000979265.1	2209	2209	Methanosarcina mazei
GCF_000979255.1	2209	2209	Methanosarcina mazei
GCF_000978955.1	2209	2209	Methanosarcina mazei
GCF_000979495.1	2209	2209	Methanosarcina mazei
GCF_000979585.1	2209	2209	Methanosarcina mazei
GCF_000979035.1	2209	2209	Methanosarcina mazei
GCF_000979765.1	2209	2209	Methanosarcina mazei
GCF_000979345.1	2209	2209	Methanosarcina mazei
GCF_000979855.1	2209	2209	Methanosarcina mazei
GCF_000979175.1	2209	2209	Methanosarcina mazei
GCF_000979375.1	2209	2209	Methanosarcina mazei
GCF_000980055.1	2209	2209	Methanosarcina mazei
GCF_005485005.1	2209	2209	Methanosarcina mazei
GCF_010706455.1	2209	2209	Methanosarcina mazei
GCF_000979515.1	2209	2209	Methanosarcina mazei
GCF_000979505.1	2209	2209	Methanosarcina mazei
GCF_000979045.1	2209	2209	Methanosarcina mazei
GCF_000980135.1	2209	2209	Methanosarcina mazei
GCF_000979575.1	2209	2209	Methanosarcina mazei
GCF_000979935.1	2209	2209	Methanosarcina mazei
GCF_000979685.1	2209	2209	Methanosarcina mazei
GCF_000979185.1	2209	2209	Methanosarcina mazei
GCF_000980175.1	2209	2209	Methanosarcina mazei
GCF_000980025.1	2209	2209	Methanosarcina mazei
GCF_000980155.1	2209	2209	Methanosarcina mazei
GCF_000979335.1	2209	2209	Methanosarcina mazei
GCF_000979735.1	2209	2209	Methanosarcina mazei
GCF_000979815.1	2209	2209	Methanosarcina mazei
GCF_000978935.1	2209	2209	Methanosarcina mazei
GCF_000979665.1	2209	2209	Methanosarcina mazei
GCF_000979745.1	2209	2209	Methanosarcina mazei
GCF_000979635.1	2209	2209	Methanosarcina mazei
GCF_000979595.1	2209	2209	Methanosarcina mazei
GCF_000979995.1	2209	2209	Methanosarcina mazei
GCF_000979655.1	2209	2209	Methanosarcina mazei
GCF_000980105.1	2209	2209	Methanosarcina mazei
GCF_900116525.1	2210	2210	Methanosarcina thermophila
GCF_900773915.1	2226	2226	Methanococcoides methylutens
GCF_000765475.1	2226	2226	Methanococcoides methylutens
GCF_003265405.1	2317	2317	Methanosphaera stadtmanae
GCF_902384015.1	2317	2317	Methanosphaera stadtmanae
GCF_017873415.1	38023	38023	Methanolobus bombayensis
GCF_900100715.1	38026	38026	Methanolobus vulcani
GCF_006546655.1	38026	38026	Methanolobus vulcani
GCF_013760955.1	39152	39152	Methanococcus maripaludis
GCF_017875815.1	39152	39152	Methanococcus maripaludis
GCF_013761165.1	39152	39152	Methanococcus maripaludis
GCF_013761135.1	39152	39152	Methanococcus maripaludis
GCF_013761105.1	39152	39152	Methanococcus maripaludis
GCF_013761085.1	39152	39152	Methanococcus maripaludis
GCF_016907005.1	39152	39152	Methanococcus maripaludis
GCF_014207325.1	39152	39152	Methanococcus maripaludis
GCF_013761225.1	39152	39152	Methanococcus maripaludis
GCF_013761205.1	39152	39152	Methanococcus maripaludis
GCF_014203295.1	39152	39152	Methanococcus maripaludis
GCF_013761055.1	39152	39152	Methanococcus maripaludis
GCF_002945325.1	39152	39152	Methanococcus maripaludis
GCF_013761045.1	39152	39152	Methanococcus maripaludis
GCF_003052125.1	39152	39152	Methanococcus maripaludis
GCF_014207315.1	39152	39152	Methanococcus maripaludis
GCF_002761295.1	39664	39664	Methanohalophilus portucalensis
GCF_001639285.1	47311	47311	Methanobrevibacter cuticularis
GCF_003385755.1	49339	49339	Methanothermobacter defluvii
GCF_001639295.1	49547	49547	Methanobrevibacter curvatus
GCF_003722155.1	51203	51203	Methanohalophilus euhalobius
GCF_002973515.1	51203	51203	Methanohalophilus euhalobius
GCF_900215215.1	51203	51203	Methanohalophilus euhalobius
GCF_004340645.1	51203	51203	Methanohalophilus euhalobius
GCF_001639265.1	55758	55758	Methanobrevibacter filiformis
GCF_012933645.1	59277	59277	Methanobacterium subterraneum
GCF_002813695.1	59277	59277	Methanobacterium subterraneum
GCF_002813655.1	59277	59277	Methanobacterium subterraneum
GCF_001639275.1	66851	66851	Methanobrevibacter oralis
GCF_902384065.1	66851	66851	Methanobrevibacter oralis
GCF_900289035.1	66851	66851	Methanobrevibacter oralis
GCF_013377755.1	81417	81417	Methanofollis tationis
