assembly_accession	taxid	species_taxid	ftp_path
GCF_002287175.1	2161	2161	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/287/175/GCF_002287175.1_ASM228717v1
GCF_001458655.1	2162	2162	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9
GCF_000762265.1	2162	2162	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1
GCF_002252585.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/585/GCF_002252585.1_ASM225258v1
GCF_901111125.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/111/125/GCF_901111125.1_PRJEB32190
GCF_002813085.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/085/GCF_002813085.1_ASM281308v1
GCF_900650605.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/650/605/GCF_900650605.1_PRJEB30627
GCF_902384055.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/384/055/GCF_902384055.1_UHGG_MGYG-HGUT-02163
GCF_000824705.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/824/705/GCF_000824705.1_Methanobrevibacter_smithii
GCF_900654205.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/654/205/GCF_900654205.1_PRJEB30652
GCF_018784305.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/784/305/GCF_018784305.1_ASM1878430v1
GCF_902387325.1	2173	2173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/387/325/GCF_902387325.1_UHGG_MGYG-HGUT-02446
GCF_003722055.1	2177	2177	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/722/055/GCF_003722055.1_ASM372205v1
GCF_001889405.1	2177	2177	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/405/GCF_001889405.1_ASM188940v1
GCF_900106905.1	2177	2177	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/905/GCF_900106905.1_IMG-taxon_2642422606_annotated_assembly
GCF_017875395.1	2188	2188	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/875/395/GCF_017875395.1_ASM1787539v1
GCF_017875565.1	2188	2188	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/875/565/GCF_017875565.1_ASM1787556v1
