"package";"model";"PCA";"train_CV_method";"train_test_split";"train_n_repeat";"train_balance";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos.Pred.Value";"Neg.Pred.Value";"Precision";"Recall";"F1";"Prevalence";"Detection.Rate";"Detection.Prevalence";"Balanced.Accuracy";"AUROC";"Nphenotype";"Density.yes";"Density.no";"Density.NA";"Density_agg";"Balance.yes";"Balance.no";"Balance_agg";"Database.Database";"Phenotype.Phenotypic_trait";"Phenotype.Bacterial_metadata_columns1";"Phenotype.Bacterial_metadata_columns2";"Phenotype.Bacterial_metadata_columns3";"Phenotype.Bacterial_metadata_columns4";"Phenotype.NA_substitution";"Phenotype.NA_substitution_value";"Genome.Pattern_gene_columns";"Genome.Pattern_genomic_table_columns";"Genome.Fix_multiple_genomes";"Genome.Genome_ortholog_type";"Genome.Genome_type"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,666666666666667;0,333333333333333;0,409925238172074;0,866572597493876;0,5;0,118942260742188;0,683091398309609;0,555555555555556;0,777777777777778;0,714285714285714;0,636363636363636;0,714285714285714;0,555555555555556;0,625;0,5;0,277777777777778;0,388888888888889;0,666666666666667;0,666666666666667;80;50;50;0;100;50;50;0;"FAPROTAX";"chitinolysis";"Name";"Genus";"Species";"Strain";"NA2level";"no";"K\d+";"K\d+|GenomeID";"pickone";"KEGG";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,5;0;0,0125791170934251;0,987420882906575;0,5;0,75;1;1;0;0,5;NA;0,5;1;0,666666666666667;0,5;0,5;1;0,5;0,5;16;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_ammonia_oxidation";"Name";"Genus";"Species";"Strain";"NA2level";"no";"COG\d+";"COG\d+|GenomeID";"pickone";"COG";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";1;1;0,158113883008419;1;0,5;0,25;NA;1;1;1;1;1;1;1;0,5;0,5;0,5;1;1;16;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_ammonia_oxidation";"Name";"Genus";"Species";"Strain";"NA2level";"no";"K\d+";"K\d+|GenomeID";"pickone";"KEGG";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,5;0;0,0125791170934251;0,987420882906575;0,5;0,75;1;0;1;NA;0,5;NA;0;NA;0,5;0;0;0,5;0,5;16;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_ammonia_oxidation";"Name";"Genus";"Species";"Strain";"NA2level";"no";"PF\d+";"PF\d+|GenomeID";"pickone";"pFam";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,9375;0,875;0,697679261565468;0,998418888277234;0,5;0,0002593994140625;1;1;0,875;0,888888888888889;1;0,888888888888889;1;0,941176470588235;0,5;0,5;0,5625;0,9375;0,9375;72;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_anoxygenic_phototrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"COG\d+";"COG\d+|GenomeID";"pickone";"COG";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,9375;0,875;0,697679261565468;0,998418888277234;0,5;0,0002593994140625;1;1;0,875;0,888888888888889;1;0,888888888888889;1;0,941176470588235;0,5;0,5;0,5625;0,9375;0,9375;72;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_anoxygenic_phototrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"K\d+";"K\d+|GenomeID";"pickone";"KEGG";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,9375;0,875;0,697679261565468;0,998418888277234;0,5;0,0002593994140625;1;0,875;1;1;0,888888888888889;1;0,875;0,933333333333333;0,5;0,4375;0,4375;0,9375;0,9375;72;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_anoxygenic_phototrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"PF\d+";"PF\d+|GenomeID";"pickone";"pFam";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,754385964912281;0,508771929824561;0,66494396849627;0,830170722040717;0,5;2,42106630142657e-08;0,850106739138526;0,736842105263158;0,771929824561403;0,763636363636364;0,745762711864407;0,763636363636364;0,736842105263158;0,75;0,5;0,368421052631579;0,482456140350877;0,754385964912281;0,754385964912281;462;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_chemoheterotrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"COG\d+";"COG\d+|GenomeID";"pickone";"COG";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,798245614035088;0,596491228070176;0,712810052803878;0,867596499905319;0,5;4,64548608801428e-11;0,676657321716424;0,824561403508772;0,771929824561403;0,783333333333333;0,814814814814815;0,783333333333333;0,824561403508772;0,803418803418803;0,5;0,412280701754386;0,526315789473684;0,798245614035088;0,798245614035088;462;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_chemoheterotrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"K\d+";"K\d+|GenomeID";"pickone";"KEGG";"BoW"
"caret";"XGBoost";"None";"CV";0,8;10;"downSample";0,666666666666667;0,333333333333333;0,409925238172074;0,866572597493876;0,5;0,118942260742188;0,683091398309609;0,555555555555556;0,777777777777778;0,714285714285714;0,636363636363636;0,714285714285714;0,555555555555556;0,625;0,5;0,277777777777778;0,388888888888889;0,666666666666667;0,666666666666667;80;50;50;0;100;50;50;0;"FAPROTAX";"chitinolysis";"Name";"Genus";"Species";"Strain";"NA2level";"no";"K\d+";"K\d+|GenomeID";"pickone";"KEGG";"BoW"
