"package";"model";"PCA";"train_CV_method";"train_test_split";"train_n_repeat";"train_balance";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos.Pred.Value";"Neg.Pred.Value";"Precision";"Recall";"F1";"Prevalence";"Detection.Rate";"Detection.Prevalence";"Balanced.Accuracy";"AUROC";"Nphenotype";"Density.yes";"Density.no";"Density.NA";"Density_agg";"Balance.yes";"Balance.no";"Balance_agg";"Database.Database";"Phenotype.Phenotypic_trait";"Phenotype.Bacterial_metadata_columns1";"Phenotype.Bacterial_metadata_columns2";"Phenotype.Bacterial_metadata_columns3";"Phenotype.Bacterial_metadata_columns4";"Phenotype.NA_substitution";"Phenotype.NA_substitution_value";"Genome.Pattern_gene_columns";"Genome.Pattern_genomic_table_columns";"Genome.Fix_multiple_genomes";"Genome.Genome_ortholog_type";"Genome.Genome_type"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";1;1;0,158113883008419;1;0,5;0,25;NA;1;1;1;1;1;1;1;0,5;0,5;0,5;1;1;16;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_ammonia_oxidation";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V100"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,5;0;0,0125791170934251;0,987420882906575;0,5;0,75;1;0;1;NA;0,5;NA;0;NA;0,5;0;0;0,5;0,5;16;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_ammonia_oxidation";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V200"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";1;1;0,158113883008419;1;0,5;0,25;NA;1;1;1;1;1;1;1;0,5;0,5;0,5;1;1;16;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_ammonia_oxidation";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V500"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,6875;0,375;0,413379363548641;0,889830045282883;0,5;0,105056762695313;1;0,75;0,625;0,666666666666667;0,714285714285714;0,666666666666667;0,75;0,705882352941177;0,5;0,375;0,5625;0,6875;0,6875;72;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_anoxygenic_phototrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V100"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,5;0;0,246510111490575;0,753489888509425;0,5;0,598190307617187;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,25;0,5;0,5;0,5;72;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_anoxygenic_phototrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V200"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,625;0,25;0,354346094302078;0,848016324918878;0,5;0,227249145507813;1;0,625;0,625;0,625;0,625;0,625;0,625;0,625;0,5;0,3125;0,5;0,625;0,625;72;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_anoxygenic_phototrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V500"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,570175438596491;0,140350877192982;0,474103922483872;0,662510554393096;0,5;0,0798807538925092;1;0,56140350877193;0,578947368421053;0,571428571428571;0,568965517241379;0,571428571428571;0,56140350877193;0,566371681415929;0,5;0,280701754385965;0,491228070175439;0,570175438596491;0,570175438596491;462;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_chemoheterotrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V100"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,5;0;0,404907954745793;0,595092045254207;0,5;0,537282519371637;0,289314832381988;0,421052631578947;0,578947368421053;0,5;0,5;0,5;0,421052631578947;0,457142857142857;0,5;0,210526315789474;0,421052631578947;0,5;0,5;462;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_chemoheterotrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V200"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,482456140350877;-0,0350877192982456;0,387886193218705;0,577959702492996;0,5;0,680115315678525;0,602537006105314;0,43859649122807;0,526315789473684;0,480769230769231;0,483870967741936;0,480769230769231;0,43859649122807;0,458715596330275;0,5;0,219298245614035;0,456140350877193;0,482456140350877;0,482456140350877;462;50;50;0;100;50;50;0;"FAPROTAX";"aerobic_chemoheterotrophy";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V500"
"caret";"glmnet";"None";"CV";0,8;10;"downSample";0,5;0;0,067585986488543;0,932414013511457;0,5;0,6875;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,25;0,5;0,5;0,5;18;50;50;0;100;50;50;0;"FAPROTAX";"aliphatic_non_methane_hydrocarbon_degradation";"Name";"Genus";"Species";"Strain";"NA2level";"no";"D2V\d+";"D2V\d+|GenomeID";"pickone";"KEGG";"D2V100"
