Name	TaxID
Acetitomaculum ruminis	2382
Acetivibrio cellulolyticus	35830
Acetivibrio cellulosolvens	35830
Acetoanaerobium noterae	745369
Acetobacter pasteurianus	438
Acetobacterium malicum	52692
Acetobacterium woodii	33952
Acetohalobium arabaticum	28187
Acetonema longum	2374
Achromobacter denitrificans	32002
Achromobacter piechaudii	72556
Achromobacter ruhlandii	72557
Achromobacter xylosoxidans	85698
Acidaminococcus fermentans	905
Acidianus ambivalens	2283
Acidianus brierleyi	41673
Acidianus manzaensis	282676
Acidianus sulfidivorans	312539
Acidiferrobacter thiooxydans	163359
Acidimicrobium ferrooxidans	53635
Acidiphilium acidophilum	76588
Acidiphilium angustum	523
Acidiphilium cryptum	524
Acidiphilium multivorum	62140
Acidiphilium organovorum	33999
Acidiphilium rubrum	526
Acidiplasma aeolicum	507754
Acidisoma sibiricum	512383
Acidisphaera rubrifaciens	50715
Aciditerrimonas ferrireducens	667306
Acidithiobacillus ferrivorans	160808
Acidithiobacillus ferrooxidans	920
Acidithiobacillus thiooxidans	930
Acidobacterium capsulatum	33075
Acidothermus cellulolyticus	28049
Acidovorax anthurii	78229
Acidovorax avenae	80867
Acidovorax delafieldii	47920
Acidovorax facilis	12917
Acidovorax konjaci	32040
Acidovorax temperans	80878
Acidovorax valerianellae	187868
Acinetobacter baumannii	470
Acinetobacter calcoaceticus	471
Acinetobacter junii	40215
Acinetobacter lwoffii	28090
Acinetobacter nosocomialis	106654
Acinetobacter pittii	48296
Acinetobacter radioresistens	40216
Acrocarpospora pleiomorpha	90975
Actinoallomurus liliacearum	1080073
Actinoallomurus oryzae	502180
Actinoallomurus vinaceus	1080074
Actinobacillus equuli	718
Actinobacillus lignieresii	720
Actinobacillus scotiae	182182
Actinobacillus seminis	722
Actinobacillus suis	716
Actinobaculum suis	1657
Actinocatenispora sera	390989
Actinocatenispora thailandica	227318
Actinocorallia aurea	65511
Actinocorallia cavernae	328075
Actinocorallia libanotica	46162
Actinomadura atramentaria	1990
Actinomadura glauciflava	96101
Actinomadura pelletieri	111805
Actinomadura rudentiformis	359158
Actinomadura viridilutea	58112
Actinomyces hominis	595468
Actinomyces odontolyticus	1660
Actinoplanes couchii	403638
Actinoplanes sichuanensis	512349
Actinoplanes xinjiangensis	512350
Actinopolymorpha cephalotaxi	504797
Actinopolymorpha pittospori	648752
Actinopolymorpha singaporensis	117157
Actinopolyspora mortivallis	33906
Actinosynnema mirum	40567
Actinosynnema pretiosum	42197
Actinotalea fermentans	43671
Aeriscardovia aeriphila	218139
Aeromicrobium ginsengisoli	363867
Aeromicrobium ponti	460257
Aeromonas caviae	648
Aeromonas encheleia	73010
Aeromonas enteropelogenes	29489
Aeromonas hydrophila	644
Afipia felis	1035
Agreia pratensis	150121
Agrobacterium larrymoorei	160699
Agrobacterium radiobacter	358
Agrobacterium rhizogenes	359
Agrobacterium rubi	28099
Agrobacterium tumefaciens	358
Agrobacterium vitis	373
Agrococcus baldri	153730
Agrococcus casei	343512
Agrococcus citreus	84643
Agrococcus jejuensis	399736
Agrococcus jenensis	46353
Agrococcus lahaulensis	341722
Agrococcus versicolor	501482
Agromyces ulmi	248902
Akkermansia muciniphila	239935
Alcaligenes eutrophus	106590
Alcaligenes faecalis	511
Alcanivorax borkumensis	59754
Alcanivorax jadensis	64988
Algiphilus aromaticivorans	382454
Algisphaera agarilytica	1385975
Alicycliphilus denitrificans	179636
Alicyclobacillus disulfidooxidans	42808
Alicyclobacillus herbarius	122960
Alicyclobacillus sendaiensis	192387
Alicyclobacillus tolerans	90970
Aliivibrio finisterrensis	511998
Alistipes indistinctus	626932
Alistipes onderdonkii	328813
Alistipes putredinis	28117
Alistipes shahii	328814
Alkalibacillus salilacus	284582
Alkalibacillus silvisoli	392823
Alkalibacterium gilvum	1130080
Alkalibacterium iburiense	290589
