"Achromobacter arsenoxydans";"Achromobacter arsenitoxydans"
"Achromobacter xylosoxidansxylosoxidans";"Achromobacter xylosoxidans subsp. xylosoxidans"
"Acidiphilium crypum";"Acidiphilium cryptum"
"Acidithiomicrobium sp";"Acidithiomicrobium"
"Acinetobacter sp";"Acinetobacter sp."
"Actinobacillus actinomycetem";"Actinobacillus actinomycetemcomitans"
"Actinomyces houstonensis";"Actinomyces sp. VAMC 3971"
"Agrobacterium pseudotsugae";NA
"Agromyces cerinusnitratus";"Agromyces cerinus subsp. nitratus"
"Ancyclobacter rudongensis";"Ancylobacter rudongensis"
"Aquabacteriuma citratiphilum";"Aquabacterium citratiphilum"
"Aquabacteriuma parvum";"Aquabacterium parvum"
"Aquaspirillum elegans";NA
"Aquaspirillum voronezhense";"Giesbergeria voronezhensis"
"Aquifex ambivalens";NA
"Archaeoglobi acetivorans";"Geoglobus acetivorans"
"Archaeoglobi ahangari";"Geoglobus ahangari"
"Archaeoglobi placidus";"Ferroglobus placidus"
"Arsenicoccus bolidensis";"Arsenicicoccus bolidensis"
"Bacillus arsenoxydans";NA
"Bacillus chitinovorus";NA
"Bacillus naphthovorans";"Bacillus sp. MN-003"
"Bacillus pumilis";"Bacillus pumilus"
"Bacillus sp";"Bacillus sp."
"Bacteriodes xylanisolvens";"Bacteroides xylanisolvens"
"Bacterium";NA
"Bacteroidetes Gracilimonas";NA
"Betaproteobacterium";NA
"Bifidobacterium longumsuis";"Bifidobacterium longum subsp. suis"
"Blastobacter aminooxidans";"Xanthobacter aminoxidans"
"Blautia hydrogenotorophica";"Blautia hydrogenotrophica"
"Blautia productus";"Blautia producta"
"Bordetella parapertussisv";"Bordetella parapertussis"
"Brenneria rubrifasciens";"Brenneria rubrifaciens"
"Brevibacillus laterosporous";"Brevibacillus laterosporus"
"Brocadia sinica";"Candidatus Brocadia sinica"
"Burgholderia fungorum";"Burkholderia fungorum"
"Burkholderia kururiensisthiooxydans";"Burkholderia kururiensis subsp. thiooxydans"
"Burkholderia vietnamensis";"Burkholderia vietnamiensis"
"Butyvivibrio fibrisolvens";"Butyrivibrio fibrisolvens"
"Caldanaerobacter subterraneussubterraneus";"Caldanaerobacter subterraneus subsp. subterraneus"
"Caldiarchaeum subterraneum";"\"Candidatus Caldiarchaeum subterraneum\" (sic) Nunoura et al. 2011"
"Caldibacillus cellovorans";"Caldibacillus cellulovorans"
"Caldicellulosiruptor saccharolyticum";"Caldicellulosiruptor saccharolyticus"
"Caldocellum saccharolyticum";"Caldicellulosiruptor saccharolyticus"
"Campylobacter sputorumbubulus";"Campylobacter sputorum subsp. bubulus"
"Cenibacterium arsenoxidans";"Herminiimonas arsenicoxydans"
"Chitinophaga terrae";"Chitinophaga terrae Kim and Jung 2007"
"Chrysiogenes arsenatus";"Chrysiogenes arsenatis"
"Chrysiogenetes arsenatis";"Chrysiogenes arsenatis"
"Clostridium aminoralericum";"Clostridium aminovalericum"
"Clostridium estertheticumlaramiense";"Clostridium estertheticum subsp. laramiense"
"Clostridium malenomenatum";"Clostridium malenominatum"
"Clostridium mangenoti";"Clostridium mangenotii"
"Clostridium OhilAs";"Alkaliphilus oremlandii"
"Clostridium stercorariumleptospartum";"Clostridium stercorarium subsp. leptospartum"
"Clostridium stercorariumthermolacticum";"Clostridium stercorarium subsp. thermolacticum"
"Clostridium thermoacticum";"Clostridium thermoaceticum"
"Clostridium thermocellurn";"Clostridium thermocellum"
"Cor ynebacteriumfreneyi";"Corynebacterium freneyi"
"Corynebacterium nitrilophius";NA
"Corynebacterium pseudogenitalum";"Corynebacterium pseudogenitalium"
"Cryptosorangium minutisporangium";"Cryptosporangium minutisporangium"
"Cyclobacterium marinus";"Cyclobacterium marinum"
"Cytophaga johnsoniae";"Cytophaga johnsonae"
"Dechlorosoma suillum";"Dechloromonas suillum"
"Deltaproteobacterium";NA
"Desulfococcus cetonicum";NA
"Desulfomaculum auripigmentum";"Desulfotomaculum auripigmentum"
"Desulfomaculum thermobenzoicum";"Desulfotomaculum thermobenzoicum"
"Desulforhopalus singaporenssi";"Desulforhopalus singaporensis"
"Desulfovibrio saprovorans";"Desulfovibrio sapovorans"
"Desulfurispirillum natronophila";"Desulfurispira natronophila"
"Desulfurohaeterium thermolithotrophum";"Desulfurobacterium thermolithotrophum"
"Dictyoglomus thermophiilum";"Dictyoglomus thermophilum"
"Diplosphaera colitermitum";"Geminisphaera colitermitum"
"Doowaniella chitinasigens";"Doohwaniella chitinasigens"
"Dyadobactera ginsengisoli";"Dyadobacter ginsengisoli"
"Enteroactinococcus coprophilus";"Enteractinococcus coprophilus"
"Erythrobacter sp";NA
"Fervidobaeterium gondwanense";"Fervidobacterium gondwanense"
"Fervidobaeterium pennivorans";"Fervidobacterium pennivorans"
"Fibrobacter succinogens";"Fibrobacter succinogenes"
"Fulvomarina pelagi";"Fulvimarina pelagi"
"Gallionella ferricapsiformans";"Gallionella capsiferriformans"
"Gallionella ferrugina";"Gallionella ferruginea"
"Geobacter akaganeitreducens";"Geobacter pelophilus"
"Geobacter arculus";"Geobacter bremensis"
"Geobacter grbicium";"Geobacter grbiciae"
"Geobacteraceae Dfrl";"Geobacter bremensis"
"Geodermatophilus obscurusdictyosporus";"Geodermatophilus obscurus subsp. dictyosporus"
"Geodermatophilus obscurusutahensis";" Geodermatophilus obscurus subsp. utahensis"
"Geospirillum barnesii";"Sulfurospirillum barnesii"
"Glycomycesa lechevalierae";"Glycomyces lechevalierae"
"Glycomycesa rutgersensis";"Glycomyces rutgersensis"
"Glycomycesa sambucus";"Glycomyces sambucus"
"Haloferax haloarchaeon";NA
"Humibacillus xanthopallidu";"Humibacillus xanthopallidus"
"Hydrogenomonas thermophilus";NA
"Klebsiella pnemoniae";"Klebsiella pneumoniae"
"Kuenenia stuttgartiensis";"Candidatus Kuenenia stuttgartiensis"
"Labrenzia alexandri";"Labrenzia alexandrii"
"Lachnospira multiparus";"Lachnospira multipara"
"Lactobacillus delbrueckiilactis";"Lactobacillus delbrueckii subsp. lactis"
"Lactococcus lactislactis";"Lactococcus lactis subsp. lactis"
"Leuconostoc mesenterioides";"Leuconostoc mesenteroides"
"Lysinibacillus sphaeriscus";"Lysinibacillus sphaericus"
"Marinospirillum aquaeoli";"Marinobacter aquaeolei"
"Marinospirillum hydrocarbanoclasticus";"Marinobacter hydrocarbonoclasticus"
"Methanomonas methanicus";"Methylomonas methanica"
"Methanothermococcus thermolithotrophus";"Methanothermococcus"
"Methylacidiphilum kamchatkensis";"Methylacidiphilum kamchatkense"
"Methylarcula sp";NA
"Methyloacida kamchatkensis";"Methylacidiphilum kamchatkense"
"Methylocapsa acidophila";"Methylocapsa acidiphila"
"Methylomonas Clara";"Methylomonas clara"
"Micrococcus cytophagus";NA
"Micromonospora brevicatiana";NA
"Micromonospora chalcae";"Micromonospora chalcea"
"Moraxella glucidolytica";NA
"Mucilaginibacter gynuensi";"Mucilaginibacter gynuensis"
"Mycobacterium chelonae";"Mycobacteroides chelonae"
"Mycobacterium fortuitumacetamidolyticum";"Mycobacterium fortuitum subsp. acetamidolyticum"
"Mycobacterium fortuitumfortuitum";"Mycobacterium fortuitum subsp. fortuitum"
"Mycolatopsis";NA
"Neisseria gonorrhea";"Neisseria gonorrhoeae"
"Neptunomonas napthovorans";"Neptunomonas naphthovorans"
"Nitrosopumilus sediminis";"Candidatus Nitrosopumilus sediminis"
"Nonomuraea fastidosa";"Nonomuraea fastidiosa"
"Paenibacillus xylanolyticus";"Paenibacillus xylanilyticus"
"Paracoccus pantotropha";"Paracoccus pantotrophus"
"Paracoccus thicyanatus";"Paracoccus thiocyanatus"
"Pasteurella mastitidis";NA
"Pedomicrobium sp";NA
"Penicillium cambertii";"Penicillium camembertii"
"Petrotoga siberica";"Petrotoga sibirica"
"Prerotella ruminicola";"Prevotella ruminicola"
"Prosthecomicrobium polyspheroidum";NA
"Providencia mirabilis";NA
"Pseudomonas arsenitoxidans";"Pseudomonas arsenicoxydans"
