Name	TaxID
Acanthopleuribacter pedis	442870
Acaricomes phytoseiuli	291968
Acetanaerobacterium elongatum	258515
Acetobacter fabarum	483199
Acetobacter ghanensis	431306
Acetobacter nitrogenifigens	285268
Acetobacter oeni	304077
Acetobacter senegalensis	446692
Acidaminococcus intestini	187327
Acidicapsa borealis	946336
Acidicapsa ligni	542300
Acidisoma sibiricum	512383
Acidisoma tundrae	512382
Acidithiobacillus ferridurans	1232575
Acidocella aluminiidurans	472056
Acidovorax caeni	343013
Acidovorax soli	592050
Acidovorax wautersii	1177982
Acinetobacter beijerinckii	262668
Acinetobacter bereziniae	106648
Acinetobacter boissieri	1219383
Acinetobacter guillouiae	106649
Acinetobacter gyllenbergii	134534
Acinetobacter indicus	756892
Acinetobacter kookii	1226327
Acinetobacter nectaris	1219382
Acinetobacter puyangensis	1096779
Acinetobacter venetianus	52133
Acrocarpospora phusangensis	1070424
Actibacter sediminis	449463
Actibacterium mucosum	1087332
Actinoallomurus acaciae	502577
Actinoallomurus acanthiterrae	1136071
Actinoallomurus amamiensis	478109
Actinoallomurus caesius	478115
Actinoallomurus coprocola	478106
Actinoallomurus fulvus	478108
Actinoallomurus iriomotensis	478107
Actinoallomurus luridus	478111
Actinoallomurus oryzae	502180
Actinoallomurus purpureus	478114
Actinoallomurus radicium	877472
Actinoallomurus yoronensis	478110
Actinoalloteichus spitiensis	252394
Actinobacillus anseriformium	221404
Actinocatenispora rupis	519421
Actinocatenispora sera	390989
Actinocatenispora thailandica	227318
Actinocorallia cavernae	328075
Actinokineospora baliensis	547056
Actinokineospora bangkokensis	1193682
Actinokineospora cianjurensis	585224
Actinokineospora cibodasensis	547057
Actinokineospora soli	1048753
Actinomadura alba	406431
Actinomadura bangladeshensis	453573
Actinomadura chokoriensis	454156
Actinomadura flavalba	1120938
Actinomadura geliboluensis	882440
Actinomadura hallensis	337895
Actinomadura keratinilytica	547461
Actinomadura meridiana	559626
Actinomadura miaoliensis	430685
Actinomadura napierensis	267854
Actinomadura rudentiformis	359158
Actinomadura rupiterrae	559627
Actinomadura scrupuli	559629
Actinomadura sediminis	1038904
Actinomadura sputi	589159
Actinomadura xylanilytica	887459
Actinomyces dentalis	272548
Actinomyces hominis	595468
Actinomyces massiliensis	461393
Actinomyces timonensis	1288391
Actinomyces weissii	675090
Actinomycetospora chiangmaiensis	402650
Actinophytocola burenkhanensis	696000
Actinophytocola oryzae	502181
Actinoplanes abujensis	882441
Actinoplanes atraurantiacus	1036182
Actinoplanes couchii	403638
Actinoplanes siamensis	1223317
Actinoplanes sichuanensis	512349
Actinoplanes tereljensis	571912
Actinoplanes toevensis	571911
Actinoplanes xinjiangensis	512350
Actinopolymorpha alba	533267
Actinopolymorpha cephalotaxi	504797
Actinopolymorpha rutila	446787
