"Aquimarina agarlytica";"Aquimarina agarilytica"
"Basfia succiniproducens";"Basfia succiniciproducens"
"Dactylosporangium lurisum";"Dactylosporangium luridum"
"Gemella asacchariolytica";"Gemella asaccharolytica"
"Kineospora mesophilia";"Kineosporia mesophila"
"Lacticigenium naphtae";"Lacticigenium napthae"
"Lysobacter ximonensi";"Lysobacter ximonensis"
"Methylobcterium phyllosphaerae";"Methylobacterium phyllosphaerae"
"Mucilaginibacter rigui Mucilaginibacter rigui";"Mucilaginibacter rigui"
"olei immibhf-1T";"Sphingobium olei"
"Plasticicumulans not yet known; article proposed:Plasticicumulans lactativoran";"Plasticicumulans lactativorans"
"Pseudomonas sabiulinigiri";"Pseudomonas sabulinigri"
"Saccharopolyspora antimicrobia";"Saccharopolyspora antimicrobica"
"Saccharospirillium salsuginis";"Saccharospirillum salsuginis"
"Silvimonas silvimonas";NA
"sinosporangium album";"Sinosporangium album"
"Skermanella xinjiangenesis";"Skermanella xinjiangensis"
"sphingomonas glacialis";"Sphingomonas glacialis"
"Spongiibacterium flavum";"Spongiibacterium flava"
"Stenotrophomonas stenotrophomonas";NA
"Streptomyces thingherensis";"Streptomyces thinghirensis"
"Tetrapisispora pingtungensis";"Tetrapisispora pingtungensis (nom. inval.)"
"Venenvibrio stagnispumantis";"Venenivibrio stagnispumantis"
"Vibro rarus";"Vibrio rarus"
"Virgibacillus subtrerraneus";"Virgibacillus subterraneus"
