Name	TaxID
Methanobacterium aarhusense	256826
Methanobacterium alcaliphilum	392018
Methanobacterium arcticum	386456
Methanobacterium beijingense	242129
Methanobacterium bryantii	2161
Methanobacterium congolense	118062
Methanobacterium espanolae	83565
Methanobacterium ferruginis	710191
Methanobacterium flexile	490098
Methanobacterium formicicum	2162
Methanobacterium ivanovii	2163
Methanobacterium kanagiense	483896
Methanobacterium lacus	877455
Methanobacterium movens	493461
Methanobacterium movilense	1036678
Methanobacterium oryzae	69540
Methanobacterium palustre	2171
Methanobacterium petrolearium	710190
Methanobacterium subterraneum	59277
Methanobacterium thermaggregans	83982
Methanobacterium uliginosum	83983
Methanobacterium veterum	408577
Methanobrevibacter acididurans	120963
Methanobrevibacter arboriphilus	39441
Methanobrevibacter boviskoreani	1348249
Methanobrevibacter curvatus	49547
Methanobrevibacter cuticularis	47311
Methanobrevibacter filiformis	55758
Methanobrevibacter gottschalkii	190974
Methanobrevibacter millerae	230361
Methanobrevibacter olleyae	294671
Methanobrevibacter oralis	66851
Methanobrevibacter ruminantium	83816
Methanobrevibacter smithii	2173
Methanobrevibacter thaueri	190975
Methanobrevibacter woesei	190976
Methanobrevibacter wolinii	190977
Methanocalculus chunghsingensis	156457
Methanocalculus halotolerans	71152
Methanocalculus natronophilus	1262400
Methanocalculus pumilus	152007
Methanocalculus taiwanensis	106207
Methanocaldococcus fervens	83171
Methanocaldococcus indicus	213231
Methanocaldococcus infernus	67760
Methanocaldococcus jannaschii	2190
Methanocaldococcus villosus	667126
Methanocaldococcus vulcanius	73913
Methanocella arvoryzae	1175445
Methanocella conradii	1175444
Methanocella paludicola	570267
Methanococcoides alaskense	325778
Methanococcoides burtonii	29291
Methanococcoides methylutens	2226
Methanococcoides vulcani	1353158
Methanococcus aeolicus	42879
Methanococcus maripaludis	39152
Methanococcus vannielii	2187
Methanococcus voltae	2188
Methanocorpusculum aggregans	176294
Methanocorpusculum bavaricum	71518
Methanocorpusculum labreanum	83984
Methanocorpusculum parvum	2193
Methanocorpusculum sinense	83985
Methanoculleus bourgensis	83986
Methanoculleus chikugoensis	118126
Methanoculleus horonobensis	528314
Methanoculleus hydrogenitrophicus	648796
Methanoculleus marisnigri	2198
Methanoculleus palmolei	72612
Methanoculleus receptaculi	394967
Methanoculleus sediminis	1550566
Methanoculleus submarinus	204050
Methanoculleus thermophilus	2200
Methanofollis aquaemaris	126734
Methanofollis ethanolicus	488124
Methanofollis formosanus	299308
Methanofollis liminatans	2201
Methanofollis tationis	81417
Methanogenium boonei	348609
Methanogenium cariaci	2197
Methanogenium frigidum	62970
Methanogenium marinum	348610
Methanogenium organophilum	2199
Methanohalobium evestigatum	2322
Methanohalophilus halophilus	2177
Methanohalophilus levihalophilus	1431282
Methanohalophilus mahii	2176
Methanohalophilus portucalensis	39664
Methanolacinia paynteri	230356
Methanolinea mesophila	547055
Methanolinea tarda	263906
Methanolobus bombayensis	38023
Methanolobus oregonensis	38024
Methanolobus profundi	487685
Methanolobus psychrophilus	420950
Methanolobus taylorii	38025
Methanolobus tindarius	2221
Methanolobus vulcani	38026
Methanolobus zinderi	536044
Methanomassiliicoccus luminyensis	1080712
Methanomethylovorans hollandica	101192
Methanomethylovorans thermophila	286152
Methanomethylovorans uponensis	1341726
Methanomicrobium mobile	2205
Methanoplanus endosymbiosus	33865
Methanoplanus limicola	2315
Methanopyrus kandleri	2320
Methanoregula boonei	358766
Methanoregula formicica	882104
Methanosaeta concilii	2223
Methanosaeta harundinacea	301375
Methanosaeta pelagica	1110545
Methanosaeta thermophila	2224
Methanosalsum zhilinae	39669
Methanosarcina acetivorans	2214
Methanosarcina baltica	109046
Methanosarcina barkeri	2208
Methanosarcina horonobensis	418008
Methanosarcina lacustris	170861
Methanosarcina mazei	2209
Methanosarcina semesiae	84592
Methanosarcina siciliae	38027
Methanosarcina soligelidi	1036677
Methanosarcina spelaei	1036679
Methanosarcina thermophila	2210
Methanosarcina vacuolata	2215
Methanosphaera cuniculi	1077256
Methanosphaera stadtmanae	2317
Methanosphaerula palustris	475088
Methanospirillum hungatei	2203
Methanospirillum lacunae	668570
Methanospirillum psychrodurum	1390225
Methanospirillum stamsii	1277351
Methanothermobacter crinale	1045764
Methanothermobacter defluvii	49339
Methanothermobacter marburgensis	145263
Methanothermobacter tenebrarum	680118
Methanothermobacter thermautotrophicus	145262
Methanothermobacter thermoflexus	49340
Methanothermobacter thermophilus	49341
Methanothermobacter wolfeii	145261
Methanothermococcus okinawensis	155863
Methanothermococcus thermolithotrophicus	2186
Methanothermus fervidus	2180
Methanothermus sociabilis	2181
Methanotorris formicicus	213185
Methanotorris igneus	2189
Methermicoccus shengliensis	660064
Methanoplanus petrolearius	54120
Methanohalophilus euhalobius	51203
Methanomicrococcus blatticola	91560
