GenomeID	D2V01	D2V02	D2V03	D2V04	D2V05	D2V06	D2V07	D2V08	D2V09	D2V10	D2V11	D2V12	D2V13	D2V14	D2V15	D2V16	D2V17	D2V18	D2V19	D2V20	D2V21	D2V22	D2V23	D2V24	D2V25	D2V26	D2V27	D2V28	D2V29	D2V30	D2V31	D2V32	D2V33	D2V34	D2V35	D2V36	D2V37	D2V38	D2V39	D2V40	D2V41	D2V42	D2V43	D2V44	D2V45	D2V46	D2V47	D2V48	D2V49	D2V50
GCF_000021425.1	0.0072807474	-0.0013183285	-0.004652151	0.0012230199	-0.00030101612	-0.0006234818	0.0063233734	-0.007992435	-0.007567374	0.0072327666	-0.005006546	0.004975307	-0.008404917	-0.0076663443	0.00033387568	0.005163239	-0.0052697198	-0.0019924948	0.005403786	-0.0014960903	-0.0099963695	0.007985193	0.00841029	0.009778025	0.0007326789	-0.006133805	0.0057208934	-0.004665523	0.007664533	-0.0063135917	6.5845794e-05	-0.0001279672	-0.003771071	0.0092162695	0.0036048796	0.00159137	0.0065507917	-0.009289344	0.009842245	0.002775209	0.0061170603	0.008134257	0.006195538	0.004239301	0.0075889565	-0.0090309	-0.009945137	0.0016844856	-0.006461726	-0.0053044176
GCF_000022705.1	0.0068344558	-0.00893648	0.0081548635	-0.002988508	-0.0068329778	0.0061652134	-0.009993134	0.005963433	0.008194986	-0.0014776466	0.004382704	0.006269282	0.0012820163	0.0078028264	-0.009559382	-0.009354499	0.001362856	0.005789183	-0.005487183	-0.0063973116	0.004365477	-0.006639487	-0.0009234007	-0.0046313023	-0.0005047097	0.0006109887	0.0057600704	0.002856005	0.00261267	-0.009851095	0.0045183813	-0.0061679794	0.008368026	0.0009437023	-0.0027344634	0.0091386745	-0.0049060346	0.009198492	0.004983693	-0.005355974	0.003143899	-0.0034829406	0.0004648479	0.003952345	6.719516e-05	-0.002290104	-0.0023079612	0.0066172704	0.0022589143	-0.0055882335
GCF_000025245.2	-0.0046944353	0.007272418	-0.0059708282	-0.0010164035	-0.0053930227	0.007366795	0.0071225674	0.006761631	-0.00574713	-0.009325687	0.0046997163	0.009032097	-0.0053796703	0.006522625	0.00686064	0.006905237	-6.8186935e-05	-0.0035458156	0.0071780775	-0.007013222	0.005504967	0.008139388	0.008713116	-0.0024575498	-0.0010605016	0.008832494	-0.0017321986	-0.009508557	0.006103071	-0.007548887	0.0063774684	0.0037844093	-0.0036612183	-0.007930926	0.0057498254	-0.007825219	-0.009261346	-0.007817031	0.008710367	-0.004501803	-0.008039479	0.0070873355	0.009483378	0.0029266956	-0.0074818097	0.0043903925	0.001740041	-0.003509884	-0.0011956687	-0.00598091
GCF_000069945.1	-0.00091459864	7.244963e-05	0.0015072845	0.00950688	-0.0054782704	0.009411451	0.00051426905	-0.00854541	-0.0047388454	-0.003946565	-0.0056558447	0.0010368015	-0.007425062	0.0060607065	-0.0049270564	-0.004510815	-0.008201265	-0.0009412311	-0.0016158778	0.008861068	-0.0060689673	0.0074532214	-0.00015968087	-0.0037025998	0.008167662	0.0030153813	-0.006169632	0.00026103237	-0.0059610177	-0.0085026445	-0.0029491533	-0.005059921	-0.0058720238	0.0082208095	0.0032618928	0.009240634	-0.009622926	0.0014798774	-0.0047658496	-0.0017820415	-0.008995151	0.008385255	-0.0017447006	0.0005331559	0.004924105	-0.0057859793	0.0056135715	0.008877625	0.00062759104	0.0058449856
GCF_000092765.1	-0.009486378	0.008679089	-0.001412805	0.009262264	-0.008541476	-0.008399262	-0.0085226735	0.001989786	0.0034945712	0.008067176	-0.0051970626	0.007694418	-0.008022134	-0.00417105	0.0053589772	-0.002071575	0.006319043	0.0024059021	0.0042842333	0.006472315	-0.007528371	0.0006520193	0.0011017327	0.006285182	0.0062454343	0.0052376296	0.0059295124	-0.009622324	-0.005562033	0.0069566886	0.009235017	0.006338912	0.0034041638	0.00079885614	-0.00712881	0.0030700641	0.0066678594	0.006599744	0.0036456476	0.009770494	0.008893103	0.0049136267	-0.008666558	-0.0025686766	-0.009940327	0.00497491	-0.007960973	0.0058281305	0.008397193	0.0011128869
GCF_000154105.1	0.004374581	0.0036228849	0.0054307356	-0.006069859	-0.0028556425	3.9757404e-05	0.002324125	-0.00551317	-0.0036416587	0.0035382612	0.00240687	0.0010321914	-0.009855467	0.0035653065	-0.0068745604	-0.005848557	-0.00896503	0.0047325674	0.00079397904	0.005066458	0.004400068	0.0029322004	-0.0020772547	-0.0040000514	0.004467834	0.0038504421	0.00023361927	0.0072547076	0.0034278727	0.0026180996	-0.0058170315	0.009641122	0.002973111	0.005432581	0.0035638353	-0.0011091395	-0.0013053863	0.0007931351	-0.0009283596	-0.00048024635	0.0052698497	0.009388237	-0.00393959	-0.008454638	-0.003052729	-0.00047362255	0.0048824055	-0.005756503	-0.0022115482	0.008469796
GCF_000154525.1	-0.008495447	0.006461114	-0.0023479161	0.004296452	0.008394899	0.0038510538	0.0030518016	0.008348422	0.0074288375	-0.007237638	0.00090874074	-0.003292289	0.0051772194	-0.0076184287	-0.008253507	-0.00601509	0.009688693	0.009809708	0.006091184	-0.00646927	0.005319343	0.0022901748	-0.0058117528	0.0054436536	0.002362637	-0.009660622	-0.0059570787	0.0063926447	0.0024658013	0.0014229292	0.0014716925	-0.0076369406	-0.00012157474	0.0011922863	-0.007523904	-0.0022239552	0.007300388	0.004054474	-0.008173013	-0.004408687	0.0033819836	-0.009473629	0.00083694054	0.0044590943	0.0062657385	0.0015592582	-0.00033410036	-0.006433585	-0.007385479	-0.0014213267
GCF_000158635.1	0.00026244653	0.007352062	-0.003888838	0.00023162157	0.0045632385	-0.0017445742	-0.007319027	-0.0024939447	0.009697711	-0.0051925485	-0.0040168106	0.0091105355	0.009741719	-0.0058533656	0.0051118517	-0.0026690487	0.0033194222	0.007269826	-0.00893565	-0.0046369303	0.003033502	0.004191286	-0.00752349	-0.0033940668	0.008922621	-0.0025096016	-0.0051926565	-0.00013386182	0.0002405161	-0.0080205705	-0.0064690844	-0.0068319617	-0.00024148924	0.0048898947	-0.0076305475	1.3897039e-05	-4.225187e-05	-0.008284576	0.004962137	-0.0020205874	-0.0038206712	-0.0065510888	-0.007026488	-0.0013127353	0.0042609298	0.00355694	0.0022236363	-0.007478151	-0.0071590473	0.0023611658
GCF_000169015.1	-0.009829741	-0.003361884	-0.0070038377	0.0033284544	-0.007968989	0.005336858	0.0033661101	0.0014631427	0.0048482167	-0.002282038	-0.0063189957	0.0026984573	-0.0041612	0.0055935266	0.0055843913	-0.003822403	-0.0045983577	-0.0024981534	-0.0025795717	-0.0069350596	-0.0016523208	6.606621e-05	0.0033902016	-0.00974362	-0.0034857814	0.008334394	-0.0053815744	-0.00907027	0.0027422765	0.0040582074	-0.0024319738	-6.874574e-05	-0.0030747165	0.0031097496	0.007650616	-0.001672698	-0.009422742	0.0046467893	0.005206303	0.00025978818	0.006104563	-0.00097043364	0.00014193289	-0.0044693635	-0.0038727617	-0.00434213	-0.001536677	0.0065893056	0.005539434	-0.008661898
GCF_000172535.1	0.0004965298	-0.006755976	0.005238174	0.0064767306	-0.007016133	-0.009538369	-0.009965599	-0.0016143814	-0.008615902	-0.0018883408	0.009970746	0.00074669113	-0.0014356556	-0.0068286736	0.0007806662	0.0040575527	-0.0019862864	-0.004034847	-0.003665717	0.008417841	-0.0073365993	-0.0025080969	-0.009823256	0.0015295792	-0.008128617	0.004929699	-0.0056198924	0.0068034087	-0.0012696757	-0.0057939566	-0.0040747747	0.009805985	-0.005319843	0.0028548483	0.001904753	0.0024897777	-0.0032115623	-0.0064945044	-0.0003042379	-0.009315623	0.008229311	-0.003511936	0.0014349432	-0.007757748	0.0027241828	0.0036748839	-0.0094528245	-0.0036793042	-0.009852318	0.007789836
