GenomeID	D2V01	D2V02	D2V03	D2V04	D2V05	D2V06	D2V07	D2V08	D2V09	D2V10	D2V11	D2V12	D2V13	D2V14	D2V15	D2V16	D2V17	D2V18	D2V19	D2V20	D2V21	D2V22	D2V23	D2V24	D2V25	D2V26	D2V27	D2V28	D2V29	D2V30	D2V31	D2V32	D2V33	D2V34	D2V35	D2V36	D2V37	D2V38	D2V39	D2V40	D2V41	D2V42	D2V43	D2V44	D2V45	D2V46	D2V47	D2V48	D2V49	D2V50
GCF_000021425.1	0.009337954	-0.0065553854	0.0012221665	0.006460982	0.0049625975	0.0044522453	0.009249151	-0.0048998147	0.0010013249	-0.002037948	0.004286185	-0.00960007	0.005211677	0.007685979	-0.0057393163	-0.006451196	0.0024266653	-0.0028585112	-0.0048480094	0.009257055	0.0038375366	-0.0063847797	0.0073915054	0.004453821	0.0056755324	-0.0019049802	-0.004263063	0.009969179	0.009253055	0.007921642	-0.0060221367	-0.002426492	-0.007876464	0.004867784	0.009469565	0.00025602395	0.008251014	-0.001102551	0.005120834	8.6504006e-05	0.000634599	0.0032405565	0.0030219078	-0.0048450897	-0.006681069	-0.009227623	0.0076227426	0.0040637488	-0.00658511	-0.004141944
GCF_000022705.1	-0.0064431056	0.0063873553	0.004409729	-0.0034153713	0.0036144236	-0.0090483595	-0.009393464	-0.0045805327	-0.0008377352	-0.0071127107	-0.009760486	-0.0047146883	0.008803693	-0.00279586	-0.002489426	-0.0068244096	-0.007981487	-0.0051292297	-0.00380177	0.003960106	0.008833289	0.0008408537	-0.0072437716	0.007169248	-0.0018940881	-0.0037970212	-0.0074717216	-0.009250329	0.0014126628	0.007777793	0.0070139463	-0.0059521478	-0.002717992	0.0017307441	-0.008837688	0.004439484	0.0063280016	-0.00964504	-0.006018148	0.0044872058	0.0019187771	0.00896918	0.0029956717	-0.0011329894	0.0037265145	0.008739533	-0.007784908	0.003912197	0.007863759	-0.0038145753
GCF_000025245.2	0.005174678	0.00025364262	0.0013445226	0.0010314063	-0.0063559897	-0.0051703737	0.0031948527	0.0022611395	0.007901182	-0.0030630613	-0.0055482197	0.0020750046	0.001632694	-0.0028391893	-0.008767579	-0.0022840179	-0.006603181	0.0061789877	-0.0042484133	0.008603738	-0.0023832847	-0.00052538456	-0.0008913871	0.006761292	-0.0016947277	-0.0024376123	0.005750336	0.0040807636	0.0007512595	0.008121588	0.0010923899	-4.6507466e-05	-0.002641898	0.0021270108	0.0053478554	-0.001041131	-0.0066844854	-0.00024429424	-0.007953227	-0.0011463661	-0.0075143487	0.0038253113	-0.006264757	-0.00022355572	0.0020693894	0.004079531	0.0060582976	0.0034391806	0.008112593	-0.005112989
GCF_000069945.1	-0.008351507	-0.0046996963	-0.009714954	0.0021493768	0.0014657226	-0.007015477	0.0019027061	-0.0076335557	0.005081928	-0.005770438	0.0040372144	0.007965339	0.0084399255	0.0009783274	-0.005466687	-0.00623798	-0.009817125	-0.0090037305	-0.0048595443	0.00025849036	0.0011409505	-0.0015611075	-0.008442837	-0.0028267438	-0.008456416	-0.0072658174	0.008811643	-0.0038688995	0.005644846	-0.0050477083	0.00016414886	0.008551898	-0.0024212317	-0.0023620545	0.0053565423	-0.005970183	0.0038158977	-0.0048421714	-0.005619651	0.004692058	-0.0053021847	-0.008533923	0.006157801	0.0034026743	-0.004985887	0.0010446343	-0.004828344	0.005297707	-0.004709875	0.004616262
GCF_000092765.1	0.0034388402	-0.00076927146	-0.007330053	-0.0016376408	0.0046123154	-0.0041010026	-0.0026061393	0.006599073	-0.00738878	-0.009096107	-0.0051421267	0.0050846823	-0.0019561292	-0.005361945	0.0077139866	0.007815158	-0.004787851	0.009432108	-0.0036443328	-0.005785822	-0.0013373913	-0.008363922	0.009525473	-0.0030008408	-0.0032761563	0.0060945633	0.0079317	-0.0057367207	0.002695782	0.005471703	0.0074333115	0.009061457	0.0027575372	0.0020458105	0.0048690895	-0.0015044787	0.0016017016	-0.0072710486	-0.00883758	0.003461291	-0.004251417	-0.0006034339	-0.0099244295	0.008663899	-0.0006908645	-0.0067692166	-0.0016200892	0.0023139087	0.003029695	-0.00025637186
GCF_000154105.1	-0.0032398156	-0.0021699253	-0.00817133	-0.00013511062	-0.0056312587	0.00066770124	-0.009480739	0.0042775176	-0.009068056	0.008625371	-0.0073102093	-0.007938358	-0.0026016296	-0.0068964693	-0.005684524	-0.005640672	-0.0040013185	0.009154403	-0.0021063671	0.0058443383	-0.009793454	-0.0034013984	0.00013787218	0.0011543739	0.0011755946	0.004656462	-0.0034376073	-0.0019285193	0.0061050477	-0.00450762	0.009418876	-0.0027186556	-0.001766741	0.008466301	-0.0076281466	0.006003364	-0.009759082	0.0051361346	-0.009330236	-0.0009811076	-0.0060806256	0.0090764435	0.003665673	0.0059981355	0.0004298206	-0.0051924516	0.0041597416	8.606422e-05	-0.007355196	-0.009633166
GCF_000154525.1	-0.0010618432	-0.0065464796	0.0052560717	0.004730127	-0.008123118	-0.0032992137	0.0038860347	-0.0004838685	0.0031814878	-0.00783639	0.008975745	-0.0042185737	-0.0013963178	0.005842667	0.0015199444	0.0027647882	0.005124083	0.0012565871	0.00035106973	-0.0042894883	-0.009760729	-0.005447057	-0.008162184	0.00062230835	-0.002663	-0.008955769	0.0073553943	-0.008598674	0.00926115	0.00895037	0.0021951967	-0.0029567385	-0.009005988	0.003358079	-0.004628049	-0.006120011	0.0010734475	-0.0076671997	0.0058572614	-0.0069103637	0.0060722395	-0.008705417	-0.0039723865	0.008479475	-0.005028432	0.00880581	-0.0007239696	-0.0075953687	0.0062749214	-0.001793517
GCF_000158635.1	0.0034082728	0.0031000648	0.008250446	-0.002865125	0.001593533	0.0068771555	-0.009317281	0.0071633034	-5.8046047e-05	0.0012273564	-0.0072800196	0.008420387	0.009785604	0.0011504568	0.0010695832	-0.0028058137	-0.008737183	0.0018957547	0.006375189	-0.009976986	-0.0049266475	-0.007847875	-0.0093484055	-0.0044924445	0.0012023078	0.001285787	-0.008250638	0.00416797	0.0055123777	0.00945169	-0.0011166264	-0.00072549086	-0.0047588744	-0.005230161	-0.0040150033	0.0071238177	-0.0018243878	0.00485242	-0.00736384	0.0026987256	-3.523852e-05	0.0046253935	-0.00027076603	-0.003950357	0.0052940804	0.002118705	-0.0035330974	-0.008752685	-0.0077988235	-0.004435007
GCF_000169015.1	-0.0058436287	0.0015004617	0.002642155	-0.005342385	0.0018238458	0.0049743443	-0.00092283083	0.00047555353	0.00660377	0.00541289	-0.004540022	-0.00270283	-0.0055488735	0.008431242	-0.003378623	0.008389309	-0.009778312	-0.0038929458	0.0020416155	0.007729114	-0.0061960425	-0.001794753	-0.006561222	0.0007398074	-0.009279111	0.0051233345	-0.0071513597	-0.008007861	-0.002723372	-0.0012528208	-0.0031440512	0.005333984	0.007962334	0.0094119515	0.00952779	0.0014944728	-0.004065639	0.0049722837	0.0077579226	0.0012882276	-0.006330656	0.0017286218	-0.008779161	0.008303619	-0.005869444	-0.0030870151	0.009475951	-0.00212553	-0.008342099	-0.008576547
GCF_000172535.1	-0.008763811	-0.0022961735	0.004958123	-0.0021823419	0.0017027095	-0.0011849122	0.009896583	0.0020993864	0.0025567487	-0.006195756	-0.003781259	0.004386443	-0.002792132	0.0012713043	0.0035688535	-0.007433045	-0.0053179343	0.00675275	0.0087097995	-0.0021878302	-0.0032245012	0.0018792306	-0.0097854305	-0.003899574	-0.0010075753	-0.0070781484	0.0025039217	0.0010410253	-0.0018750961	-0.007932926	0.008778528	-0.0094744535	0.009842522	0.0021731409	-0.0009824848	0.0034621588	0.0070824646	0.00012284167	0.003412992	0.009214425	-0.004455581	0.0031402474	-0.009450534	0.0034419615	-0.006050925	-0.005240577	-0.00080036354	0.0061019845	-0.007820593	0.004449644
GCF_000175375.1	0.005792597	-0.00807159	-0.00264426	-0.0050725574	-0.0093480265	0.008827592	0.0026134439	-0.0064464286	0.008129022	-0.00014374357	0.006584177	-0.0043281503	-0.0092313355	-0.008639471	0.0003736335	-0.0004008051	-0.009046504	0.000505786	0.0068449834	-0.0007963932	0.008815286	0.006985365	0.008741509	-0.00033384655	-0.008631668	-0.0022102208	0.0042368723	-5.2162733e-05	0.0036174054	-0.0030038103	-0.009463047	-0.0006117633	-0.0060830126	-0.0013715208	0.0065219556	0.00066190376	0.007913785	-0.0058746394	-0.006332566	0.0021134703	-0.007218897	-0.003657937	-0.001759591	0.003929218	-0.0073894598	0.0061850534	0.00053901	-0.0014848291	0.00215296	0.006498432
GCF_000191885.1	0.0027167483	-0.008510362	0.00043435176	-0.0074808053	-0.0052782157	0.005695988	0.009898866	-0.003838484	0.00053303456	-0.005005874	-0.007543353	0.008154961	0.00598901	-0.0088947145	0.0027531278	0.009128654	-0.008082591	0.005148619	0.0021807784	0.0010814571	0.0013090842	-0.00023548245	-0.0055809575	-0.006194839	0.0016283576	-0.0048386343	-0.0021862774	0.007849419	-0.000684309	-0.00993667	-0.00023289441	0.0014970959	-0.004394583	-0.0091605885	-0.0018687358	0.0011591171	-0.0072945436	0.0061546084	0.0040588994	-0.0032285159	0.0028960032	-0.0011251451	-0.004718332	-0.0073621008	0.0030736902	0.007235376	0.0025714375	0.0044315606	-0.009675658	-0.0073900423
GCF_000219915.2	-0.005680853	0.0028863025	0.008981296	0.0037137489	0.0088379895	-0.004426064	0.0060969903	0.0013230024	0.008870407	0.007243613	0.0009479381	-0.009887721	0.0053103585	-0.007188921	0.0086034145	-0.00861148	0.008380563	0.0063216505	0.008670051	0.00073895877	-0.0031941228	-0.0035931733	0.0036909166	0.009521558	0.0031540482	0.0036189982	-0.0078521	-0.009794885	0.009406089	0.0041734776	-0.0077546975	-0.0046507986	0.004796826	0.009440746	0.00422993	0.0011133855	0.0043603475	-0.0019221298	-0.0009087315	-0.0049263975	0.004513482	0.00655953	-0.00010502787	-0.00523477	0.0010076595	0.0015415893	0.006721224	-0.0049008355	-0.002370546	-0.0021337438
GCF_000220885.1	-0.0057924716	-0.0006303004	-0.0054948283	-0.002311121	-0.0076538757	0.00011080174	-0.0002178229	0.0017284269	-0.0012959404	0.00012544726	-0.008100426	-0.0028365867	-0.0011138	0.002755373	-0.005070858	-0.0037328377	-0.0070334566	-0.0016973752	-0.005679879	0.002079241	0.0025136743	-0.0018810187	-0.0024105234	0.0066699106	0.0044257063	0.008497162	-0.0004019971	0.0061009116	-0.006687328	0.007738146	0.0046108584	0.0034084318	-0.0042728106	0.006503604	-0.0084250765	0.0070760683	0.0066995155	0.009196862	-0.004053548	0.0060483553	-0.0015803473	0.0024529286	-0.00050179637	0.00705672	0.005256251	0.0059668855	-0.008086821	0.008552879	0.004394792	-0.003383877
GCF_000224965.2	-0.006579992	-0.0016556174	-0.008374441	0.009911462	-0.00070202985	-0.0050341976	0.0085948	-0.0062064384	0.006659472	-0.0020275943	0.0030206859	0.002369755	-0.001539316	-0.0011376224	0.0023700476	-0.0049828673	0.009488876	0.0076045105	-0.0051648426	-0.009407054	-0.0035807698	0.007944937	0.00977288	-0.009463725	-0.006402344	-0.008038404	0.004758424	-0.0027949521	-0.003159838	-0.009358165	-0.0036614954	-0.0062464075	0.0032819929	0.0018762182	0.008605277	-0.0052881697	-0.007041992	-0.0035079035	-0.008941418	0.0014266119	-0.0061248313	0.0052680275	0.009761021	0.0012162472	0.008243722	-0.0077126785	0.006051044	0.0012807302	-0.005196265	0.0059553864
GCF_000235585.1	0.0031121576	0.0016615813	-0.005248094	0.008882402	0.002610524	0.0039124563	0.00900981	-0.006537305	0.0036383015	-0.008089397	0.0024255842	-0.00698405	0.00081392925	0.0042577875	-0.008402382	0.0060717883	0.0039899265	0.005451902	0.0027836368	-0.0052446923	-0.005070618	-0.0044153105	0.0033003492	-0.0014009373	0.00026897024	-0.0074667884	0.0029308414	-0.0085865995	-0.0053222547	-0.0014043597	0.0024786184	0.006057534	0.008382699	-0.00060417526	-0.008851922	0.006691746	-0.00093998393	-0.0008843019	0.0049459096	0.0045464286	-0.0061836885	-0.00088358717	0.008902864	0.009267289	0.00050562044	0.00014382822	0.0061329706	-0.0070557864	0.0036415963	-0.0014346514
