GenomeID	D2V01	D2V02	D2V03	D2V04	D2V05	D2V06	D2V07	D2V08	D2V09	D2V10	D2V11	D2V12	D2V13	D2V14	D2V15	D2V16	D2V17	D2V18	D2V19	D2V20	D2V21	D2V22	D2V23	D2V24	D2V25	D2V26	D2V27	D2V28	D2V29	D2V30	D2V31	D2V32	D2V33	D2V34	D2V35	D2V36	D2V37	D2V38	D2V39	D2V40	D2V41	D2V42	D2V43	D2V44	D2V45	D2V46	D2V47	D2V48	D2V49	D2V50
GCF_000021425.1	3.2700307e-05	0.0029291078	-0.0065878346	-2.4546696e-05	0.0044620163	0.00031199906	0.003031776	0.0069864113	0.0028226525	-0.005522797	0.0046124146	-0.00659962	-0.003589462	-0.0040740618	0.005476416	0.0003235419	-0.0036659862	0.009870122	0.0022444602	0.0068162032	-0.009205839	-0.0078201955	-0.0021207773	-0.004984117	-0.0035449385	-0.009133679	-0.009150334	-0.009944445	-0.0024354714	-0.0048280368	0.0025474478	-0.004800669	-0.0022390538	0.00040908574	0.0075011165	-0.009302826	0.0057684937	0.008804288	-0.0010813149	0.009588375	-0.00042824674	0.0015574826	-0.00782546	-0.005385507	-0.009306687	-0.0072710384	0.003762624	0.008606143	-0.008898721	-0.009844925
GCF_000022705.1	-0.008191793	0.0038052471	0.0043898346	-0.0010537049	-0.003821182	-0.0070804674	0.00463038	0.0013736137	-0.0021435248	-0.003848392	0.0019385333	0.003459716	-0.0039336225	0.0018970389	-0.0025740524	-0.009429204	-0.0009388745	-0.0016726066	0.00856361	0.005382528	0.009223398	0.0052701933	0.0010358444	0.0059998166	-0.0045646024	0.00027618746	0.0059463996	-0.001854999	0.005819498	0.0057740007	-0.0072695035	-0.006720271	-0.003564777	0.00052019657	0.0047211354	0.008576136	-0.0037572267	0.0033554444	-0.00057724846	-0.0043421085	0.004383893	-0.0037472814	0.0015878476	0.0008278928	-0.0021657075	0.0048696147	-0.0038549555	0.003913301	0.0015951206	-0.0008956962
GCF_000025245.2	-0.0003729709	0.009648454	0.009561664	0.0017079129	0.0008291753	-0.00036837487	0.0031545695	0.005643376	-0.0008746064	0.008142001	0.002951332	-0.0025990598	-0.00905586	-0.0019308648	0.003158475	0.0020621007	-0.009069912	0.0065374374	-0.0013856781	0.0053799716	-0.009880846	0.0017865818	-0.004823403	-0.0017420276	-0.0052834805	0.005311773	-0.0042728772	0.0025389602	0.00028241516	0.008965884	0.0035179064	0.002671107	0.008044654	0.0022057623	-0.004557481	-0.0014133258	0.007379953	0.0023337256	-0.005034504	0.009343888	-0.001923517	0.0025614197	-0.0049351607	0.0020558299	-0.0050079497	-0.0019876652	-0.005712733	0.00013342581	-0.0061707976	0.005350923
GCF_000069945.1	0.002574808	0.0019899562	-0.0006337953	-0.008449198	0.0024554625	-0.004682805	0.003271894	-0.0049394183	0.0063337367	0.009585232	-0.0031731299	-0.004187396	0.0011619645	0.008610262	0.008485808	-0.0053630667	-0.00336204	0.0035832014	-0.007997011	0.0006547552	-0.005877651	-0.008784127	-0.004198445	-0.0024330276	-0.005266902	0.006258313	-0.0073393043	-3.7115176e-05	0.008920949	0.0087122405	0.0061025033	0.0065882676	-0.0005603075	0.005243766	0.0031601961	0.0013716065	0.0087433485	0.0025480646	-0.004607259	0.0042260475	7.820979e-05	-0.00044621466	0.0064275474	0.0066030277	0.004019191	-0.0021186	0.0031290003	-0.0069701	0.004502385	-0.00085411983
GCF_000092765.1	0.0061416784	-0.0066454206	0.00092579896	0.008630052	0.0063133896	0.0046959026	0.009089604	-0.0035481509	-0.0013417185	-0.003083353	-0.0005343881	0.0049867416	0.004873536	-0.0024821998	-0.0001269188	-2.7212947e-05	-0.005509197	-0.008797925	0.009471356	0.0010142131	0.0016327779	-0.007989921	-0.0059483275	-0.008044903	0.0092007695	-0.009539993	-0.0019062028	0.0028002993	-0.0028512524	-0.0019467205	-0.00031477527	0.0024305687	-0.005177073	-0.005337161	-0.0011184498	-0.0074717132	-0.009398613	0.004441965	0.0045396592	-0.001329322	-0.0091393925	0.0026749067	0.0024728295	0.004185894	-0.008972782	0.008512622	-0.002203118	-0.008865222	0.009709871	0.00176589
GCF_000154105.1	1.1096442e-05	0.0027549572	-0.001235292	-0.0036046796	-0.00867865	0.001180458	-0.0032670065	0.005434611	0.00010714415	0.0035160242	0.006500826	0.00027212105	-0.0005657327	0.008597475	-0.006920146	0.0012624188	-0.0014990027	0.006607314	0.008874718	-0.008807961	-0.007320646	-0.0008613243	-0.00219872	-0.004727849	-0.008522151	-0.0069767325	-0.0034509536	-0.001615989	-0.008167366	-0.00851902	0.0051906314	0.0045340136	0.008735397	0.002583856	0.005715743	0.0020272594	-0.008950652	-0.0015223516	0.009277086	-0.0009846302	-0.0021508473	0.0042659147	0.009196358	0.009213234	0.006856966	0.0037772688	0.00051099475	-0.0011790468	-0.009542314	-0.0097615
GCF_000154525.1	0.0034540507	-0.0074086627	0.00037593977	-0.009650768	-0.0056127906	0.008023321	-0.00074099854	0.006571081	0.0059670475	-0.009399237	-0.0058742706	0.0020408884	-0.0067678643	-0.008773768	-0.00059502356	-0.004255021	-0.004481365	-0.009595909	0.0049623437	-0.0040643173	0.0068321405	0.0024692337	-0.009843293	-0.009548465	-0.0019530685	-0.0010222443	-0.0016537409	0.0065800254	-0.00894653	-0.0047267433	-0.0038568196	-0.009837849	0.00079655956	0.003040978	-0.008566406	0.0009635744	0.008370921	0.006559288	-0.0023520559	-0.00248581	-0.0015559223	0.0038806447	-0.004936186	-0.009340498	0.002329272	-0.0034515385	-0.003182024	-0.009671338	-0.004169603	-0.003943666
GCF_000158635.1	-0.0056129964	-0.008162812	0.0020736135	0.0027056253	0.0029506148	-0.007283095	-0.0072572907	0.0029355763	-0.002779691	0.0041775582	-0.005855738	-0.009751975	0.008760438	-0.004241307	-0.00855057	0.0052656555	0.004579452	0.009604642	-0.00206191	0.008817359	0.00875491	0.008589279	0.007978679	0.0027999708	-0.0031338353	-0.00595009	-0.0007339723	-0.0015396068	-0.0036597005	-0.0039395713	-0.003708769	-0.0034406113	-0.008209852	3.3139066e-05	-0.005105641	0.003356731	0.004543547	0.008792589	-0.0011972548	0.004058676	-0.0012821784	-0.007944776	-8.8596695e-05	-0.006493773	0.0061576176	0.0061166035	0.00032128225	0.006120147	0.0067276238	-0.0007066097
GCF_000169015.1	0.0071762544	0.0028572103	0.0019064911	0.0069566327	-0.006791504	-0.006912295	-0.007455841	0.008573223	0.00662629	-0.0017115067	0.009796484	0.0063357814	0.008282051	0.0051736943	0.0048016524	-0.00445001	-0.0073178657	-0.0024320288	0.0039073527	-0.008276275	-0.0024398216	0.0038266985	0.0081163235	-0.0033566086	-0.009448048	-0.008256274	0.0004901709	0.004171623	-0.009179055	0.0070295967	0.009387443	-0.004450337	0.0038978397	-0.008347191	-0.00059079	-0.0043034833	0.0018967846	-0.0063814274	-0.008281424	0.008151354	0.0076932395	0.00084393536	0.0020140335	0.0029469081	0.007578039	0.008582507	0.0021585529	-0.0025759353	0.0034328816	-0.00665982
GCF_000172535.1	-0.0044839256	-0.0009363122	-0.005904593	-0.00040690054	0.006716874	0.0071092737	0.0064276443	0.002636849	-0.005929402	0.009438232	0.0065777022	-0.002415622	-0.004114201	0.009460786	-0.0021978845	-0.0035925126	0.0078723645	-0.007733791	0.001183461	0.00049234286	0.0041343486	0.00841514	0.006100805	0.0015640483	-0.008595285	-0.0047914754	0.0027064355	-0.009437523	0.0032521468	-0.00047210467	0.0013743112	0.00049234024	0.0050079753	-0.008519587	0.006657295	0.0011175374	-0.0052298564	0.0021026353	-0.0065744272	-0.008475043	0.005149185	-0.0057135005	-0.0035426868	-0.00616907	-0.0017454785	0.0052799303	0.0055752844	0.007816837	-0.0084102955	0.0076268343
